attendance_id,student_id,date,status
1,12033028,2024-11-04,Present
2,12033028,2024-11-04,Present
3,12033028,2024-11-04,Absent
4,12033028,2024-11-04,Present
5,12033028,2024-11-04,Absent
6,1203313,2024-11-04,Present
7,12033028,2024-11-04,Present
8,12033028,2024-11-04,Absent
9,1203313,2024-11-04,Present
10,123456,2024-11-04,Present
11,123457,2024-11-04,Present
12,12033028,2024-11-04,Present
13,12033028,2024-11-04,Present
14,1203313,2024-11-04,Present
15,123456,2024-11-04,Absent
16,123457,2024-11-04,Absent
17,12033919,2024-11-04,Absent
18,120225025,2024-11-04,Absent
19,7878787,2024-11-04,Absent
20,120300,2024-11-04,Absent
21,12033028,2024-11-04,Absent
22,12033028,2024-11-04,Absent
23,1203313,2024-11-04,Absent
24,123456,2024-11-04,Absent
25,123457,2024-11-04,Absent
26,12033919,2024-11-04,Absent
27,120225025,2024-11-04,Absent
28,7878787,2024-11-04,Absent
29,120300,2024-11-04,Absent
30,12033028,2024-11-04,Absent
31,12033028,2024-11-04,Absent
32,1203313,2024-11-04,Absent
33,123456,2024-11-04,Absent
34,123457,2024-11-04,Absent
35,12033919,2024-11-04,Absent
36,120225025,2024-11-04,Absent
37,7878787,2024-11-04,Absent
38,120300,2024-11-04,Absent
39,12033028,2024-11-04,Absent
40,12033028,2024-11-04,Absent
41,1203313,2024-11-04,Absent
42,12033028,2024-11-04,Absent
43,12033028,2024-11-05,Absent
44,12033028,2024-11-05,Absent
45,1203313,2024-11-05,Absent
46,123456,2024-11-05,Absent
47,123457,2024-11-05,Absent
48,12033919,2024-11-05,Absent
49,120225025,2024-11-05,Absent
50,7878787,2024-11-05,Absent
51,120300,2024-11-05,Absent
52,12033028,2024-11-05,Absent
53,12033028,2024-11-05,Absent
54,1203313,2024-11-05,Absent
55,12033028,2024-11-05,Absent
56,147852,2024-11-05,Absent
57,147963,2024-11-05,Absent
58,852963,2024-11-05,Absent
59,12033028,11/5/24,Absent
60,12033028,11/5/24,Absent
61,1203313,11/5/24,Absent
62,123456,11/5/24,Absent
63,123457,11/5/24,Absent
64,12033919,11/5/24,Absent
65,120225025,11/5/24,Absent
66,7878787,11/5/24,Absent
67,120300,11/5/24,Absent
68,12033028,11/5/24,Absent
69,12033028,11/5/24,Absent
70,1203313,11/5/24,Absent
71,12033028,11/5/24,Absent
72,147852,11/5/24,Absent
73,147963,11/5/24,Absent
74,852963,11/5/24,Absent
75,12033028,11/5/24,Absent
76,12033028,11/12/24,Absent
77,12033028,11/12/24,Absent
78,1203313,11/12/24,Absent
79,123456,11/12/24,Absent
80,123457,11/12/24,Absent
81,12033919,11/12/24,Absent
82,120225025,11/12/24,Absent
83,7878787,11/12/24,Absent
84,120300,11/12/24,Absent
85,12033028,11/12/24,Present
86,12033028,11/12/24,Present
87,1203313,11/12/24,Present
88,12033028,11/12/24,Absent
89,147852,11/12/24,Absent
90,147963,11/12/24,Absent
91,852963,11/12/24,Absent
92,12033028,11/12/24,Absent
93,12033028,2024-11-06,Present
94,12033028,2024-11-06,Absent
95,1203313,2024-11-06,Absent
96,123456,2024-11-06,Present
97,123457,2024-11-06,Absent
98,12033919,2024-11-06,Absent
99,120225025,2024-11-06,Present
100,7878787,2024-11-06,Absent
101,120300,2024-11-06,Absent
102,12033028,2024-11-06,Absent
103,12033028,2024-11-06,Absent
104,1203313,2024-11-06,Absent
105,12033028,2024-11-06,Absent
106,147852,2024-11-06,Absent
107,147963,2024-11-06,Absent
